period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2023-12,NY,New York,ALL,all sectors,11552.48165,million kilowatt hours
2023-12,NY,New York,COM,commercial,5868.06085,million kilowatt hours
2023-12,NY,New York,IND,industrial,1157.99046,million kilowatt hours
2023-12,NY,New York,OTH,other,,million kilowatt hours
2023-12,NY,New York,RES,residential,4294.03398,million kilowatt hours
2023-12,NY,New York,TRA,transportation,232.39635,million kilowatt hours
2023-06,NY,New York,ALL,all sectors,11078.68809,million kilowatt hours
2023-06,NY,New York,COM,commercial,5770.23991,million kilowatt hours
2023-06,NY,New York,IND,industrial,1237.44311,million kilowatt hours
2023-06,NY,New York,OTH,other,,million kilowatt hours
2023-06,NY,New York,RES,residential,3849.08287,million kilowatt hours
2023-06,NY,New York,TRA,transportation,221.9222,million kilowatt hours
2024-05,NY,New York,ALL,all sectors,10099.97518,million kilowatt hours
2024-05,NY,New York,COM,commercial,5189.97976,million kilowatt hours
2024-05,NY,New York,IND,industrial,1304.3951,million kilowatt hours
2024-05,NY,New York,OTH,other,,million kilowatt hours
2024-05,NY,New York,RES,residential,3368.08758,million kilowatt hours
2024-05,NY,New York,TRA,transportation,237.51274,million kilowatt hours
2024-02,NY,New York,ALL,all sectors,11343.86243,million kilowatt hours
2024-02,NY,New York,COM,commercial,5628.36984,million kilowatt hours
2024-02,NY,New York,IND,industrial,1314.07737,million kilowatt hours
2024-02,NY,New York,OTH,other,,million kilowatt hours
2024-02,NY,New York,RES,residential,4193.45946,million kilowatt hours
2024-02,NY,New York,TRA,transportation,207.95576,million kilowatt hours
2023-09,NY,New York,ALL,all sectors,12679.45665,million kilowatt hours
2023-09,NY,New York,COM,commercial,6464.23331,million kilowatt hours
2023-09,NY,New York,IND,industrial,1316.23883,million kilowatt hours
2023-09,NY,New York,OTH,other,,million kilowatt hours
2023-09,NY,New York,RES,residential,4622.04973,million kilowatt hours
2023-09,NY,New York,TRA,transportation,276.93478,million kilowatt hours
2024-01,NY,New York,ALL,all sectors,11832.09325,million kilowatt hours
2022-08,NY,New York,ALL,all sectors,14847.97056,million kilowatt hours
2022-08,NY,New York,COM,commercial,7259.11497,million kilowatt hours
2022-08,NY,New York,IND,industrial,1433.56344,million kilowatt hours
2022-08,NY,New York,OTH,other,,million kilowatt hours
2022-08,NY,New York,RES,residential,5944.88409,million kilowatt hours
2022-08,NY,New York,TRA,transportation,210.40806,million kilowatt hours
