index,period,stateid,stateDescription,sectorid,sectorName,price,price-units
0,2023-12,NY,New York,COM,commercial,16.67,cents per kilowatt-hour
1,2023-12,NY,New York,IND,industrial,6.34,cents per kilowatt-hour
2,2023-12,NY,New York,RES,residential,22.42,cents per kilowatt-hour
3,2023-06,NY,New York,COM,commercial,18.4,cents per kilowatt-hour
4,2023-06,NY,New York,IND,industrial,6.62,cents per kilowatt-hour
5,2023-06,NY,New York,RES,residential,21.63,cents per kilowatt-hour
6,2024-05,NY,New York,COM,commercial,17.79,cents per kilowatt-hour
7,2024-05,NY,New York,IND,industrial,8.8,cents per kilowatt-hour
8,2024-05,NY,New York,RES,residential,23.6,cents per kilowatt-hour
9,2024-02,NY,New York,COM,commercial,18.27,cents per kilowatt-hour
10,2024-02,NY,New York,IND,industrial,9.06,cents per kilowatt-hour
11,2024-02,NY,New York,RES,residential,24.24,cents per kilowatt-hour
12,2023-09,NY,New York,COM,commercial,20.17,cents per kilowatt-hour
13,2023-09,NY,New York,IND,industrial,6.98,cents per kilowatt-hour
14,2023-09,NY,New York,RES,residential,23.24,cents per kilowatt-hour
15,2022-08,NY,New York,COM,commercial,19.96,cents per kilowatt-hour
16,2022-08,NY,New York,IND,industrial,8.48,cents per kilowatt-hour
17,2022-08,NY,New York,RES,residential,21.2,cents per kilowatt-hour
18,2022-01,NY,New York,COM,commercial,16.57,cents per kilowatt-hour
19,2022-01,NY,New York,IND,industrial,7.46,cents per kilowatt-hour
20,2022-01,NY,New York,RES,residential,21.05,cents per kilowatt-hour
21,2020-04,NY,New York,RES,residential,17.35,cents per kilowatt-hour
22,2020-08,NY,New York,COM,commercial,15.82,cents per kilowatt-hour
23,2020-08,NY,New York,IND,industrial,5.68,cents per kilowatt-hour
24,2020-08,NY,New York,RES,residential,18.43,cents per kilowatt-hour
25,2019-01,NY,New York,COM,commercial,13,cents per kilowatt-hour
26,2019-01,NY,New York,IND,industrial,5.73,cents per kilowatt-hour
27,2019-01,NY,New York,RES,residential,17.3,cents per kilowatt-hour
28,2019-06,NY,New York,COM,commercial,14.82,cents per kilowatt-hour
29,2019-06,NY,New York,IND,industrial,5.36,cents per kilowatt-hour
30,2019-06,NY,New York,RES,residential,18.53,cents per kilowatt-hour
31,2020-07,NY,New York,COM,commercial,15.84,cents per kilowatt-hour
32,2020-07,NY,New York,IND,industrial,5.66,cents per kilowatt-hour
33,2020-07,NY,New York,RES,residential,18.75,cents per kilowatt-hour
34,2020-05,NY,New York,COM,commercial,13.88,cents per kilowatt-hour
35,2020-05,NY,New York,IND,industrial,5.37,cents per kilowatt-hour
36,2020-05,NY,New York,RES,residential,18.55,cents per kilowatt-hour
37,2020-09,NY,New York,COM,commercial,16,cents per kilowatt-hour
38,2020-09,NY,New York,IND,industrial,5.79,cents per kilowatt-hour
39,2020-09,NY,New York,RES,residential,19.01,cents per kilowatt-hour
40,2019-02,NY,New York,COM,commercial,13.14,cents per kilowatt-hour
41,2019-02,NY,New York,IND,industrial,5.68,cents per kilowatt-hour
42,2019-02,NY,New York,RES,residential,17.65,cents per kilowatt-hour
43,2021-08,NY,New York,COM,commercial,17.54,cents per kilowatt-hour
44,2021-08,NY,New York,IND,industrial,6.55,cents per kilowatt-hour
45,2021-08,NY,New York,RES,residential,19.97,cents per kilowatt-hour
46,2020-06,NY,New York,COM,commercial,15.7,cents per kilowatt-hour
47,2020-06,NY,New York,IND,industrial,5.64,cents per kilowatt-hour
48,2020-06,NY,New York,RES,residential,19.13,cents per kilowatt-hour
49,2021-09,NY,New York,COM,commercial,17.77,cents per kilowatt-hour
50,2021-09,NY,New York,IND,industrial,6.7,cents per kilowatt-hour
51,2021-09,NY,New York,RES,residential,20.5,cents per kilowatt-hour
52,2019-09,NY,New York,COM,commercial,15.71,cents per kilowatt-hour
53,2019-08,NY,New York,COM,commercial,15.24,cents per kilowatt-hour
54,2019-08,NY,New York,IND,industrial,5.77,cents per kilowatt-hour
55,2019-08,NY,New York,RES,residential,18.38,cents per kilowatt-hour
56,2019-09,NY,New York,IND,industrial,5.77,cents per kilowatt-hour
57,2019-09,NY,New York,RES,residential,18.72,cents per kilowatt-hour
58,2021-12,NY,New York,COM,commercial,15.34,cents per kilowatt-hour
59,2021-12,NY,New York,IND,industrial,6.61,cents per kilowatt-hour
60,2021-12,NY,New York,RES,residential,19.56,cents per kilowatt-hour
61,2021-06,NY,New York,RES,residential,19.6,cents per kilowatt-hour
62,2021-01,NY,New York,COM,commercial,14.08,cents per kilowatt-hour
63,2021-01,NY,New York,IND,industrial,5.65,cents per kilowatt-hour
64,2021-01,NY,New York,RES,residential,18.31,cents per kilowatt-hour
65,2021-05,NY,New York,COM,commercial,15.6,cents per kilowatt-hour
66,2021-05,NY,New York,IND,industrial,6.03,cents per kilowatt-hour
67,2021-05,NY,New York,RES,residential,19.93,cents per kilowatt-hour
68,2021-03,NY,New York,COM,commercial,14.95,cents per kilowatt-hour
69,2021-03,NY,New York,IND,industrial,6.03,cents per kilowatt-hour
70,2021-03,NY,New York,RES,residential,18.04,cents per kilowatt-hour
71,2021-06,NY,New York,COM,commercial,17.1,cents per kilowatt-hour
72,2021-06,NY,New York,IND,industrial,6.43,cents per kilowatt-hour
73,2021-11,NY,New York,RES,residential,20.09,cents per kilowatt-hour
74,2021-10,NY,New York,COM,commercial,17.12,cents per kilowatt-hour
75,2021-10,NY,New York,IND,industrial,6.76,cents per kilowatt-hour
76,2021-10,NY,New York,RES,residential,20.66,cents per kilowatt-hour
77,2021-07,NY,New York,COM,commercial,17.34,cents per kilowatt-hour
78,2021-07,NY,New York,IND,industrial,6.67,cents per kilowatt-hour
79,2021-07,NY,New York,RES,residential,19.64,cents per kilowatt-hour
80,2020-02,NY,New York,COM,commercial,13.22,cents per kilowatt-hour
81,2020-02,NY,New York,IND,industrial,5.37,cents per kilowatt-hour
82,2020-02,NY,New York,RES,residential,17.46,cents per kilowatt-hour
83,2021-04,NY,New York,COM,commercial,14.27,cents per kilowatt-hour
84,2021-04,NY,New York,IND,industrial,5.87,cents per kilowatt-hour
85,2021-04,NY,New York,RES,residential,18.55,cents per kilowatt-hour
86,2021-11,NY,New York,COM,commercial,15.7,cents per kilowatt-hour
87,2021-11,NY,New York,IND,industrial,6.65,cents per kilowatt-hour
88,2021-02,NY,New York,COM,commercial,15.15,cents per kilowatt-hour
89,2021-02,NY,New York,IND,industrial,6.07,cents per kilowatt-hour
90,2021-02,NY,New York,RES,residential,18.83,cents per kilowatt-hour
91,2020-04,NY,New York,COM,commercial,13.25,cents per kilowatt-hour
92,2020-04,NY,New York,IND,industrial,5.35,cents per kilowatt-hour
93,2019-10,NY,New York,COM,commercial,14.6,cents per kilowatt-hour
94,2019-10,NY,New York,IND,industrial,5.6,cents per kilowatt-hour
95,2019-10,NY,New York,RES,residential,18.58,cents per kilowatt-hour
96,2020-01,NY,New York,COM,commercial,13.13,cents per kilowatt-hour
97,2020-01,NY,New York,IND,industrial,5.44,cents per kilowatt-hour
98,2020-01,NY,New York,RES,residential,17.58,cents per kilowatt-hour
99,2019-12,NY,New York,COM,commercial,13.37,cents per kilowatt-hour
100,2019-12,NY,New York,IND,industrial,5.44,cents per kilowatt-hour
101,2019-12,NY,New York,RES,residential,17.33,cents per kilowatt-hour
102,2019-04,NY,New York,COM,commercial,13.13,cents per kilowatt-hour
103,2019-04,NY,New York,IND,industrial,5.49,cents per kilowatt-hour
104,2019-04,NY,New York,RES,residential,17.54,cents per kilowatt-hour
105,2019-07,NY,New York,COM,commercial,15.27,cents per kilowatt-hour
106,2019-07,NY,New York,IND,industrial,5.72,cents per kilowatt-hour
107,2019-07,NY,New York,RES,residential,18.64,cents per kilowatt-hour
108,2019-11,NY,New York,COM,commercial,13.44,cents per kilowatt-hour
109,2019-11,NY,New York,IND,industrial,5.46,cents per kilowatt-hour
110,2019-11,NY,New York,RES,residential,18.01,cents per kilowatt-hour
111,2020-03,NY,New York,COM,commercial,13.34,cents per kilowatt-hour
112,2020-03,NY,New York,IND,industrial,5.3,cents per kilowatt-hour
113,2020-03,NY,New York,RES,residential,17.2,cents per kilowatt-hour
114,2020-12,NY,New York,COM,commercial,14.02,cents per kilowatt-hour
115,2020-12,NY,New York,IND,industrial,5.65,cents per kilowatt-hour
116,2020-12,NY,New York,RES,residential,18.26,cents per kilowatt-hour
117,2020-10,NY,New York,COM,commercial,15.32,cents per kilowatt-hour
118,2020-10,NY,New York,IND,industrial,5.75,cents per kilowatt-hour
119,2020-10,NY,New York,RES,residential,19.29,cents per kilowatt-hour
120,2019-03,NY,New York,COM,commercial,12.93,cents per kilowatt-hour
121,2019-03,NY,New York,IND,industrial,5.55,cents per kilowatt-hour
122,2019-03,NY,New York,RES,residential,16.85,cents per kilowatt-hour
123,2020-11,NY,New York,COM,commercial,14.77,cents per kilowatt-hour
124,2020-11,NY,New York,IND,industrial,5.51,cents per kilowatt-hour
125,2020-11,NY,New York,RES,residential,18.95,cents per kilowatt-hour
126,2019-05,NY,New York,COM,commercial,13.37,cents per kilowatt-hour
127,2019-05,NY,New York,IND,industrial,5.78,cents per kilowatt-hour
128,2019-05,NY,New York,RES,residential,17.35,cents per kilowatt-hour
129,2022-03,NY,New York,COM,commercial,16.2,cents per kilowatt-hour
130,2022-03,NY,New York,IND,industrial,6.95,cents per kilowatt-hour
131,2022-03,NY,New York,RES,residential,20.75,cents per kilowatt-hour
132,2022-12,NY,New York,COM,commercial,17.54,cents per kilowatt-hour
133,2022-12,NY,New York,IND,industrial,7.73,cents per kilowatt-hour
134,2022-12,NY,New York,RES,residential,22.78,cents per kilowatt-hour
135,2023-04,NY,New York,COM,commercial,16.12,cents per kilowatt-hour
136,2023-04,NY,New York,IND,industrial,6.78,cents per kilowatt-hour
137,2023-04,NY,New York,RES,residential,19.81,cents per kilowatt-hour
138,2022-09,NY,New York,COM,commercial,20.39,cents per kilowatt-hour
139,2022-09,NY,New York,IND,industrial,7.96,cents per kilowatt-hour
140,2022-05,NY,New York,COM,commercial,16.9,cents per kilowatt-hour
141,2024-09,NY,New York,RES,residential,24.98,cents per kilowatt-hour
142,2022-09,NY,New York,RES,residential,23.95,cents per kilowatt-hour
143,2022-06,NY,New York,COM,commercial,19.41,cents per kilowatt-hour
144,2022-06,NY,New York,IND,industrial,7.54,cents per kilowatt-hour
145,2022-06,NY,New York,RES,residential,22.36,cents per kilowatt-hour
146,2023-07,NY,New York,RES,residential,22.29,cents per kilowatt-hour
147,2022-07,NY,New York,COM,commercial,19.86,cents per kilowatt-hour
148,2022-07,NY,New York,IND,industrial,8.3,cents per kilowatt-hour
149,2022-07,NY,New York,RES,residential,21.88,cents per kilowatt-hour
150,2022-04,NY,New York,COM,commercial,16.32,cents per kilowatt-hour
151,2022-04,NY,New York,IND,industrial,6.98,cents per kilowatt-hour
152,2022-04,NY,New York,RES,residential,21.06,cents per kilowatt-hour
153,2023-03,NY,New York,COM,commercial,16.92,cents per kilowatt-hour
154,2023-03,NY,New York,IND,industrial,6.89,cents per kilowatt-hour
155,2023-03,NY,New York,RES,residential,21.21,cents per kilowatt-hour
156,2023-05,NY,New York,COM,commercial,16.36,cents per kilowatt-hour
157,2023-05,NY,New York,IND,industrial,6.87,cents per kilowatt-hour
158,2023-05,NY,New York,RES,residential,20.47,cents per kilowatt-hour
159,2022-11,NY,New York,COM,commercial,17.78,cents per kilowatt-hour
160,2022-11,NY,New York,IND,industrial,7.09,cents per kilowatt-hour
161,2022-11,NY,New York,RES,residential,23.66,cents per kilowatt-hour
162,2022-10,NY,New York,COM,commercial,18.92,cents per kilowatt-hour
163,2022-10,NY,New York,IND,industrial,7.44,cents per kilowatt-hour
164,2022-10,NY,New York,RES,residential,23.26,cents per kilowatt-hour
165,2024-12,NY,New York,COM,commercial,18.77,cents per kilowatt-hour
166,2024-12,NY,New York,IND,industrial,9.78,cents per kilowatt-hour
167,2024-12,NY,New York,RES,residential,24.37,cents per kilowatt-hour
168,2024-06,NY,New York,IND,industrial,9.53,cents per kilowatt-hour
169,2024-06,NY,New York,RES,residential,24.52,cents per kilowatt-hour
170,2024-01,NY,New York,COM,commercial,17.9,cents per kilowatt-hour
171,2024-01,NY,New York,IND,industrial,8.96,cents per kilowatt-hour
172,2024-01,NY,New York,RES,residential,23.45,cents per kilowatt-hour
173,2024-09,NY,New York,COM,commercial,20.53,cents per kilowatt-hour
174,2024-09,NY,New York,IND,industrial,9.29,cents per kilowatt-hour
175,2024-06,NY,New York,COM,commercial,19.48,cents per kilowatt-hour
176,2023-01,NY,New York,COM,commercial,17.97,cents per kilowatt-hour
177,2023-01,NY,New York,IND,industrial,7.49,cents per kilowatt-hour
178,2023-01,NY,New York,RES,residential,23.62,cents per kilowatt-hour
179,2022-02,NY,New York,COM,commercial,17.33,cents per kilowatt-hour
180,2022-02,NY,New York,IND,industrial,7.41,cents per kilowatt-hour
181,2022-02,NY,New York,RES,residential,21.64,cents per kilowatt-hour
182,2024-03,NY,New York,COM,commercial,17.34,cents per kilowatt-hour
183,2024-03,NY,New York,IND,industrial,8.32,cents per kilowatt-hour
184,2024-03,NY,New York,RES,residential,23.65,cents per kilowatt-hour
185,2023-10,NY,New York,COM,commercial,18.84,cents per kilowatt-hour
186,2023-10,NY,New York,IND,industrial,6.54,cents per kilowatt-hour
187,2023-10,NY,New York,RES,residential,21.99,cents per kilowatt-hour
188,2022-05,NY,New York,IND,industrial,7,cents per kilowatt-hour
189,2022-05,NY,New York,RES,residential,21.86,cents per kilowatt-hour
190,2023-08,NY,New York,COM,commercial,19.43,cents per kilowatt-hour
191,2023-08,NY,New York,IND,industrial,7.13,cents per kilowatt-hour
192,2023-08,NY,New York,RES,residential,22.26,cents per kilowatt-hour
193,2023-02,NY,New York,COM,commercial,16.24,cents per kilowatt-hour
194,2023-02,NY,New York,IND,industrial,7.06,cents per kilowatt-hour
195,2023-02,NY,New York,RES,residential,24.18,cents per kilowatt-hour
196,2024-04,NY,New York,COM,commercial,17.44,cents per kilowatt-hour
197,2024-04,NY,New York,IND,industrial,7.33,cents per kilowatt-hour
198,2024-04,NY,New York,RES,residential,22.97,cents per kilowatt-hour
199,2023-07,NY,New York,COM,commercial,19.69,cents per kilowatt-hour
200,2023-07,NY,New York,IND,industrial,7.02,cents per kilowatt-hour
201,2024-08,NY,New York,COM,commercial,20.08,cents per kilowatt-hour
202,2024-08,NY,New York,IND,industrial,9.83,cents per kilowatt-hour
203,2024-08,NY,New York,RES,residential,25.13,cents per kilowatt-hour
204,2024-07,NY,New York,COM,commercial,20.49,cents per kilowatt-hour
205,2024-07,NY,New York,IND,industrial,9.94,cents per kilowatt-hour
206,2024-07,NY,New York,RES,residential,25.02,cents per kilowatt-hour
207,2023-11,NY,New York,COM,commercial,18.34,cents per kilowatt-hour
208,2023-11,NY,New York,IND,industrial,6.66,cents per kilowatt-hour
209,2023-11,NY,New York,RES,residential,22.85,cents per kilowatt-hour
210,2024-11,NY,New York,COM,commercial,17.73,cents per kilowatt-hour
211,2024-11,NY,New York,IND,industrial,8.92,cents per kilowatt-hour
212,2024-11,NY,New York,RES,residential,24.7,cents per kilowatt-hour
213,2024-10,NY,New York,COM,commercial,19.11,cents per kilowatt-hour
214,2024-10,NY,New York,IND,industrial,9.4,cents per kilowatt-hour
215,2024-10,NY,New York,RES,residential,24.98,cents per kilowatt-hour
